,scene,indoor_navigable_area,outdoor_navigable_area,total_navigable_area,indoor_navigation_complexity,outdoor_navigation_complexity,total_navigation_complexity,indoor_scene_clutter,outdoor_scene_clutter,total_scene_clutter,indoor_floor_area,outdoor_floor_area,total_floor_area,dataset
0,ProcTHOR-Train-7912,19.186248779296875,0.0,19.186248779296875,1.3403055835974167,0.0,1.3403055835974167,3.423056218695484,0.0,3.423056218695484,20.69749964490535,0.0,20.69749964490535,ProcTHOR
1,ProcTHOR-Train-9641,58.13920617103577,0.0,58.13920617103577,7.4831111883444175,0.0,7.4831111883444175,6.45765248650071,0.0,6.45765248650071,93.77125623770064,0.0,93.77125623770064,ProcTHOR
2,ProcTHOR-Train-529,61.965484380722046,0.0,61.965484380722046,9.029805917458582,0.0,9.029805917458582,6.051806156514438,0.0,6.051806156514438,83.58375410497194,0.0,83.58375410497194,ProcTHOR
3,ProcTHOR-Train-7511,136.44534623622894,0.0,136.44534623622894,21.902502724669105,0.0,21.902502724669105,5.589368070127597,0.0,5.589368070127597,189.91124989062544,0.0,189.91124989062544,ProcTHOR
4,ProcTHOR-Train-227,98.32783579826356,0.0,98.32783579826356,17.184216497079554,0.0,17.184216497079554,5.083108879144836,0.0,5.083108879144836,137.48501907974537,0.0,137.48501907974537,ProcTHOR
5,ProcTHOR-Train-1272,58.07791209220886,0.0,58.07791209220886,11.432111029844402,0.0,11.432111029844402,7.055765650925558,0.0,7.055765650925558,85.5362553854284,0.0,85.5362553854284,ProcTHOR
6,ProcTHOR-Train-3113,53.42999815940857,0.0,53.42999815940857,7.7259325949473885,0.0,7.7259325949473885,7.759661596911188,0.0,7.759661596911188,84.02250306025148,0.0,84.02250306025148,ProcTHOR
7,ProcTHOR-Train-2874,75.71124374866486,0.0,75.71124374866486,20.605672586652613,0.0,20.605672586652613,6.634817498779671,0.0,6.634817498779671,109.3512579846381,0.0,109.3512579846381,ProcTHOR
8,ProcTHOR-Train-4696,23.35261011123657,0.0,23.35261011123657,4.724221957100589,0.0,4.724221957100589,7.592223608860186,0.0,7.592223608860186,31.395001475810943,0.0,31.395001475810943,ProcTHOR
9,ProcTHOR-Val-485,61.09250247478485,0.0,61.09250247478485,8.92196308961454,0.0,8.92196308961454,7.635658220120788,0.0,7.635658220120788,89.03750830888751,0.0,89.03750830888751,ProcTHOR
10,ProcTHOR-Train-5839,28.848751068115234,0.0,28.848751068115234,1.5068924588618882,0.0,1.5068924588618882,2.7873623736222792,0.0,2.7873623736222792,35.68750345930465,0.0,35.68750345930465,ProcTHOR
11,ProcTHOR-Train-7179,104.28564739227296,0.0,104.28564739227296,17.157789123321546,0.0,17.157789123321546,5.456146371873228,0.0,5.456146371873228,145.4700035649538,0.0,145.4700035649538,ProcTHOR
12,ProcTHOR-Train-3280,70.06248843669891,0.0,70.06248843669891,13.88443787690463,0.0,13.88443787690463,4.328192003560552,0.0,4.328192003560552,88.88126237094444,0.0,88.88126237094444,ProcTHOR
13,ProcTHOR-Train-213,107.61197531223296,0.0,107.61197531223296,11.578557287879573,0.0,11.578557287879573,3.9291702817364142,0.0,3.9291702817364142,136.1425029215215,0.0,136.1425029215215,ProcTHOR
14,ProcTHOR-Train-1236,22.35836064815521,0.0,22.35836064815521,3.799704019018049,0.0,3.799704019018049,9.225369670586836,0.0,9.225369670586836,27.917502633184228,0.0,27.917502633184228,ProcTHOR
15,ProcTHOR-Train-8264,38.774646043777466,0.0,38.774646043777466,9.992261046145352,0.0,9.992261046145352,9.10682662831154,0.0,9.10682662831154,66.51875270083538,0.0,66.51875270083538,ProcTHOR
16,ProcTHOR-Train-6178,61.69875228404999,0.0,61.69875228404999,9.041676318625344,0.0,9.041676318625344,5.216136706877618,0.0,5.216136706877618,81.11876179017155,0.0,81.11876179017155,ProcTHOR
17,ProcTHOR-Train-4742,52.581812143325806,0.0,52.581812143325806,9.820340118820113,0.0,9.820340118820113,7.358090081177885,0.0,7.358090081177885,70.54249619290226,0.0,70.54249619290226,ProcTHOR
18,ProcTHOR-Train-7922,32.46837031841278,0.0,32.46837031841278,4.417283613110098,0.0,4.417283613110098,4.684224652575869,0.0,4.684224652575869,39.06249962747097,0.0,39.06249962747097,ProcTHOR
19,ProcTHOR-Train-4671,80.13508296012878,0.0,80.13508296012878,8.556631836498857,0.0,8.556631836498857,5.075525491063073,0.0,5.075525491063073,108.4012598890066,0.0,108.4012598890066,ProcTHOR
20,ProcTHOR-Train-9449,42.79234743118286,0.0,42.79234743118286,6.079375853036717,0.0,6.079375853036717,4.223616787831734,0.0,4.223616787831734,54.57125394403936,0.0,54.57125394403936,ProcTHOR
21,ProcTHOR-Train-9729,170.49481582641602,0.0,170.49481582641602,20.096478380759336,0.0,20.096478380759336,4.711941174623228,0.0,4.711941174623228,226.4137699830536,0.0,226.4137699830536,ProcTHOR
22,ProcTHOR-Train-1138,26.33749961853028,0.0,26.33749961853028,2.670265138905328,0.0,2.670265138905328,6.4916300718348925,0.0,6.4916300718348925,32.433751755803854,0.0,32.433751755803854,ProcTHOR
23,ProcTHOR-Train-5613,59.444212436676025,0.0,59.444212436676025,12.990742146512398,0.0,12.990742146512398,7.083286841454035,0.0,7.083286841454035,100.92875950351385,0.0,100.92875950351385,ProcTHOR
24,ProcTHOR-Train-4637,92.3828902244568,0.0,92.3828902244568,20.55056295224876,0.0,20.55056295224876,4.02217477892297,0.0,4.02217477892297,114.32625404775146,0.0,114.32625404775146,ProcTHOR
25,ProcTHOR-Train-3411,131.86003351211548,0.0,131.86003351211548,19.74342792495068,0.0,19.74342792495068,3.995868941664171,0.0,3.995868941664171,157.57376387164007,0.0,157.57376387164007,ProcTHOR
26,ProcTHOR-Train-9701,40.67500400543213,0.0,40.67500400543213,2.85898323508658,0.0,2.85898323508658,5.553597151036593,0.0,5.553597151036593,52.91625426650047,0.0,52.91625426650047,ProcTHOR
27,ProcTHOR-Train-4736,30.93250274658203,0.0,30.93250274658203,5.438942216233788,0.0,5.438942216233788,6.366803385423558,0.0,6.366803385423558,42.21125143289567,0.0,42.21125143289567,ProcTHOR
28,ProcTHOR-Train-2299,14.456253051757812,0.0,14.456253051757812,3.3733111249332546,0.0,3.3733111249332546,6.335832954367498,0.0,6.335832954367498,19.51625184729696,0.0,19.51625184729696,ProcTHOR
29,ProcTHOR-Train-7847,53.69762802124024,0.0,53.69762802124024,14.76679474986785,0.0,14.76679474986785,7.455123697598661,0.0,7.455123697598661,90.3450016218423,0.0,90.3450016218423,ProcTHOR
30,ProcTHOR-Train-9753,155.2300647497177,0.0,155.2300647497177,21.11227287674357,0.0,21.11227287674357,4.860152973244907,0.0,4.860152973244907,215.3837507387994,0.0,215.3837507387994,ProcTHOR
31,ProcTHOR-Val-775,27.36465215682984,0.0,27.36465215682984,4.721802295394961,0.0,4.721802295394961,5.452343351830916,0.0,5.452343351830916,36.5099997395277,0.0,36.5099997395277,ProcTHOR
32,ProcTHOR-Train-4670,103.32025039196014,0.0,103.32025039196014,16.207634426996037,0.0,16.207634426996037,5.7583420580688935,0.0,5.7583420580688935,152.10876270592226,0.0,152.10876270592226,ProcTHOR
33,ProcTHOR-Train-5007,70.15992736816406,0.0,70.15992736816406,12.04619653624988,0.0,12.04619653624988,6.086956255817981,0.0,6.086956255817981,104.76875262260434,0.0,104.76875262260434,ProcTHOR
34,ProcTHOR-Val-49,68.2150068283081,0.0,68.2150068283081,9.177173099346067,0.0,9.177173099346067,4.819088749909772,0.0,4.819088749909772,79.72750705987235,0.0,79.72750705987235,ProcTHOR
35,ProcTHOR-Train-9224,53.17875587940216,0.0,53.17875587940216,9.048663908029944,0.0,9.048663908029944,3.34320875249784,0.0,3.34320875249784,60.47500424534091,0.0,60.47500424534091,ProcTHOR
36,ProcTHOR-Test-39,109.2183791399002,0.0,109.2183791399002,12.63649543796257,0.0,12.63649543796257,4.709954353946157,0.0,4.709954353946157,142.10001477822686,0.0,142.10001477822686,ProcTHOR
